symbol_day,symbol,day,quoted_half_spread_bps,bid_depth_lots,ask_depth_lots,touch_notional_usd,fill_rate_ceiling,n_posts,n_fills,earn_half_spread_bps_mean,net_per_fill_bps_mean,net_per_fill_bps_median,realized_adverse_bps_mean
META|2026-01-13,META,2026-01-13,1.2733987011339765,80.0,80.0,6269100.0,0.7422480620155039,3096,2298,1.35665323081143,0.1276979991670835,0.3976544354873648,1.2289552316443466
META|2026-02-09,META,2026-02-09,1.2487971145437782,80.0,80.0,5446680.0,0.7135448444173277,3278,2339,1.4579986948601493,0.86800900773566,1.2675288510855642,0.5899896871244893
META|2026-03-06,META,2026-03-06,2.091223830658081,80.0,80.0,5175760.0,0.7244291523303097,3197,2316,2.120072671464659,1.7272455531720523,1.0833969522233833,0.39282711829260664
META|2026-04-01,META,2026-04-01,1.3746531149792394,80.0,80.0,4686560.0,0.7645317545748116,3716,2841,1.467251734104816,-0.1901580170989515,-0.0002678313861583523,1.6574097512037673
META|2026-04-28,META,2026-04-28,1.2647209802328505,80.0,80.0,5343240.0,0.7205226258763544,3138,2261,1.3452824049688765,0.7200960790922011,0.8182674507361011,0.6251863258766754
META|2026-05-22,META,2026-05-22,1.3941168269897664,80.0,80.0,4876460.0,0.6980273141122914,2636,1840,1.4492305110669879,0.20648228945024374,0.12274725278398194,1.242748221616744
META|2026-06-18,META,2026-06-18,1.3994087498029297,80.0,80.0,4619160.0,0.7405534067241892,3361,2489,1.528951914233437,0.6852659955927711,0.524102113749292,0.8436859186406658
MSFT|2024-12-12,MSFT,2024-12-12,1.1056809889206993,3.0,3.0,158700.49999999997,0.6890064667842446,3402,2344,1.1600982512495535,-0.3546997481332915,-0.11075104584922114,1.514797999382845
MSFT|2025-01-10,MSFT,2025-01-10,1.5586221779945981,7.0,2.0,168228.0,0.7008903728436283,3594,2519,1.6265327793069153,0.3854341958707134,0.35752023925658116,1.2410985834362018
MSFT|2025-02-06,MSFT,2025-02-06,0.8391574858840904,1.0,2.0,62679.75,0.7200220022002201,3636,2618,0.8168295279988019,0.015969854897098547,0.23982823520848595,0.8008596731017034
MSFT|2025-03-05,MSFT,2025-03-05,1.3732662513578313,2.0,2.0,99572.49999999999,0.7262158956109134,4215,3061,1.3946702074013262,1.1422028428902027,1.2488931704356847,0.2524673645111235
MSFT|2025-03-31,MSFT,2025-03-31,1.2127255332627953,1.0,2.0,56164.5,0.7382761330888132,3817,2818,1.2309867519868396,0.6748068827284917,0.542588901529391,0.556179869258348
MSFT|2025-04-25,MSFT,2025-04-25,1.548267230923383,1.0,1.0,58210.5,0.6632157877709479,3091,2050,1.6007925818354598,0.5258198064638574,0.7721568931393727,1.0749727753716023
MSFT|2025-05-21,MSFT,2025-05-21,1.2048324735212175,1.0,1.0,68112.75,0.7295017136831005,3793,2767,1.2133437324182803,0.43086223505760185,0.32881984206263093,0.7824814973606784
MSFT|2025-06-17,MSFT,2025-06-17,0.9435841519796919,1.0,1.0,71463.75,0.7082926829268292,3075,2178,0.9716191918274227,0.8223511244457787,1.04759105324626,0.149268067381644
MSFT|2025-07-15,MSFT,2025-07-15,0.5918560606060831,1.0,1.0,76018.5,0.7579908675799086,3285,2490,0.6081553899901785,0.45948530028161266,0.393718225661888,0.14867008970856582
MSFT|2025-08-08,MSFT,2025-08-08,0.47949212194400037,2.0,1.0,78477.74999999999,0.7449225473321859,2905,2164,0.5472403475076248,-0.2806898107666765,-0.00005161206637913703,0.8279301582743013
MSFT|2025-09-04,MSFT,2025-09-04,0.7882394671499633,2.0,2.0,100711.0,0.7293283833952076,2963,2161,0.7573591197828734,0.23030898880729783,0.39403432038782754,0.5270501309755755
MSFT|2025-09-30,MSFT,2025-09-30,0.6805300356797037,1.0,1.0,77286.0,0.7567716970702045,3618,2738,0.7216200927054042,0.6031694813738026,0.6812683379830379,0.11845061133160162
