signal,w,h_min,band,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_cost_bps,n_syms
stflow,120,1,0.05,0.0028,0.1424,-0.4003,-0.8035,2.676,5
stflow,120,1,0.1,-0.0041,0.12,-0.3389,-0.6737,2.676,5
stflow,120,1,0.15,0.0049,0.0929,-0.2439,-0.4927,2.676,5
stflow,120,1,0.2,0.0114,0.0637,-0.1513,-0.314,2.676,5
stflow,120,2,0.0,-0.0418,0.1495,-0.4708,-0.8998,2.676,5
stflow,120,2,0.02,-0.0251,0.1485,-0.4492,-0.8733,2.676,5
stflow,120,2,0.05,0.0103,0.1424,-0.3928,-0.796,2.676,5
stflow,120,2,0.1,-0.0115,0.12,-0.3463,-0.6811,2.676,5
stflow,120,2,0.15,0.0034,0.0929,-0.2454,-0.4942,2.676,5
stflow,120,2,0.2,0.0144,0.0637,-0.1483,-0.3109,2.676,5
stflow,120,5,0.0,-0.092,0.1495,-0.5211,-0.9501,2.676,5
stflow,120,5,0.02,-0.0809,0.1485,-0.505,-0.9291,2.676,5
stflow,120,5,0.05,-0.0405,0.1424,-0.4436,-0.8468,2.676,5
stflow,120,5,0.1,-0.021,0.12,-0.3557,-0.6905,2.676,5
stflow,120,5,0.15,-0.0211,0.0929,-0.2699,-0.5188,2.676,5
stflow,120,5,0.2,0.0116,0.0637,-0.1511,-0.3138,2.676,5
